"","bdl_id","popular_name"
"497",49250,NA
"498",49249,"Negro Leagues Baseball Centennial Commemorative Coin Act"
"499",49248,"Greg LeMond Congressional Gold Medal Act"
"500",49247,NA
"501",49246,"Rodchenkov Anti-Doping Act of 2019"
"502",49245,"Wounded Veterans Recreation Act"
"503",49244,NA
"504",49243,NA
"505",49242,NA
"506",49241,NA
"507",49240,NA
"508",49239,NA
"509",49238,NA
"510",49237,NA
"511",49236,NA
"512",49235,"Rosie the Riveter Congressional Gold Medal Act of 2019"
"513",49234,"Information Technology Modernization Centers of Excellence Program Act"
"514",49233,NA
"515",49232,NA
"516",49231,NA
"517",49230,"Friendly Airports for Mothers Improvement Act"
"518",49229,"Empowering Olympic, Paralympic, and Amateur Athletes Act of 2020"
"519",49228,"America's Conservation Enhancement Act"
"520",49227,"Identifying Barriers and Best Practices Study Act"
"521",49226,NA
"522",49225,"Whole Veteran Act"
"523",49224,"Intercountry Adoption Information Act of 2019"
"524",49223,"Protecting Business Opportunities for Veterans Act of 2019"
"525",49222,"Due Process Protections Act"
"526",49221,NA
"527",49220,NA
"528",49219,"Defending the Integrity of Voting Systems Act"
"529",49218,"Veterans' Compensation Cost-of-Living Adjustment Act of 2020"
"530",49217,"Veterans' Care Quality Transparency Act"
"531",49216,"Vet Center Eligibility Expansion Act"
"532",49215,NA
"533",49214,"Native American Business Incubators Program Act"
"534",49213,NA
"535",49212,"National Suicide Hotline Designation Act of 2020"
"536",49211,"Commander John Scott Hannon Veterans Mental Health Care Improvement Act of 2019"
"537",49210,"Merrill's Marauders Congressional Gold Medal Act"
"538",49209,NA
"539",49208,NA
"540",49207,"B-47 Ridge Designation Act"
"541",49206,"Not Invisible Act of 2019"
"542",49205,"Savanna's Act"
"543",49204,"Extension of the Caribbean Basin Economic Recovery Act"
"544",49203,NA
"545",49202,NA
"546",49201,NA
"547",49200,NA
"548",49199,NA
"549",49198,NA
"550",49197,"Safeguarding America's First Responders Act of 2020"
"551",49196,"Commission on the Social Status of Black Men and Boys Act"
"552",49195,"Department of Veterans Affairs Contracting Preference Consistency Act of 2020"
"553",49194,"Ryan Kules and Paul Benne Specially Adaptive Housing Improvement Act of 2019"
"554",49193,"Veteran Treatment Court Coordination Act of 2019"
"555",49192,"Great American Outdoors Act"
"556",49191,"Protecting Nonprofits from Catastrophic Cash Flow Strain Act of 2020"
"557",49190,NA
"558",49189,"Hong Kong Autonomy Act"
"559",49188,"Emergency Aid for Returning Americans Affected by Coronavirus Act"
"560",49187,NA
"561",49186,NA
"562",49185,"Uyghur Human Rights Policy Act of 2020"
"563",49184,"Major Medical Facility Authorization Act of 2020"
"564",49183,"Law Enforcement Suicide Data Collection Act"
"565",49182,"Paycheck Protection Program Flexibility Act of 2020"
"566",49181,"Never Again Education Act"
"567",49180,"Student Veteran Coronavirus Response Act of 2020"
"568",49179,NA
"569",49178,NA
"570",49177,"VA Tele-Hearing Modernization Act"
"571",49176,NA
"572",49175,"Taiwan Allies International Protection and Enhancement Initiative (TAIPEI) Act of 2019"
"573",49174,"Support for Veterans in Effective Apprenticeships Act of 2019"
"574",49173,"Citizenship for Children of Military Members and Civil Servants Act"
"575",49172,NA
"576",49171,"Supporting Older Americans Act of 2020"
"577",49170,NA
"578",49169,"Secure 5G and Beyond Act of 2020"
"579",49168,NA
"580",49167,NA
"581",49166,"Representative Payee Fraud Prevention Act of 2019"
"582",49165,"Merchant Mariners of World War II Congressional Gold Medal Act of 2020"
"583",49164,"Secure and Trusted Communications Networks Act of 2019"
"584",49163,NA
"585",49162,"Protecting America's Food and Agriculture Act of 2019"
"586",49161,"Presidential Transition Enhancement Act of 2019"
"587",49160,NA
"588",49159,NA
"589",49158,NA
"590",49157,"Payment Integrity Information Act of 2019"
"591",49156,"DHS Field Engagement Accountability Act"
"592",49155,"Supporting Veterans in STEM Careers Act"
"593",49154,"Temporary Reauthorization and Study of the Emergency Scheduling of Fentanyl Analogues Act"
"594",49153,"United States-Mexico-Canada Agreement Implementation Act"
"595",49152,"President George H.W. Bush and First Spouse Barbara Bush Coin Act"
"596",49151,"Emancipation National Historic Trail Study Act"
"597",49150,NA
"598",49149,NA
"599",49148,"Securing American Nonprofit Organizations Against Terrorism Act of 2019"
"600",49147,NA
"601",49146,"Fallen Warrior Battlefield Cross Memorial Act"
"602",49145,NA
"603",49144,"Debbie Smith Reauthorization Act of 2019"
"604",49143,NA
"605",49142,"Building Blocks of STEM Act"
"606",49141,"Esther Martinez Native American Languages Programs Reauthorization Act"
"607",49140,"Spokane Tribe of Indians of the Spokane Reservation Equitable Compensation Act"
"608",49139,"Columbia River In-Lieu and Treaty Fishing Access Sites Improvement Act"
"609",49138,"Virginia Beach Strong Act"
"610",49137,"Vera C. Rubin Observatory Designation Act"
"611",49136,"Support for Suicide Prevention Coordinators Act"
"612",49135,NA
"613",49134,NA
"614",49133,NA
"615",49132,NA
"616",49131,NA
"617",49130,NA
"618",49129,NA
"619",49128,NA
"620",49127,NA
"621",49126,NA
"622",49125,NA
"623",49124,NA
"624",49123,NA
"625",49122,NA
"626",49121,NA
"627",49120,NA
"628",49119,NA
"629",49118,NA
"630",49117,NA
"631",49116,"Hong Kong Human Rights and Democracy Act of 2019"
"632",49115,"Reauthorizing Security for Supreme Court Justices Act of 2019"
"633",49114,"ONDCP Technical Corrections Act of 2019"
"634",49113,"Divisional Realignment for the Eastern District of Arkansas Act of 2019"
"635",49112,"Preventing Animal Cruelty and Torture Act"
"636",49111,"Women's Suffrage Centennial Commemorative Coin Act"
"637",49110,"Rebuilding Small Businesses After Disasters Act"
"638",49109,NA
"639",49108,"Hidden Figures Congressional Gold Medal Act"
"640",49107,"National POW/MIA Flag Act"
"641",49106,NA
"642",49105,"Christa McAuliffe Commemorative Coin Act of 2019"
"643",49104,"Terrorist and Foreign Fighter Travel Exercise Act of 2019"
"644",49103,NA
"645",49102,"Alaska Remote Generator Reliability and Protection Act"
"646",49101,"Department of Veterans Affairs Expiring Authorities Act of 2019"
"647",49100,NA
"648",49099,NA
"649",49098,"Veterans' Compensation Cost-of-Living Adjustment Act of 2019"
"650",49097,"Reviving America's Scenic Byways Act of 2019"
"651",49096,"Restore the Harmony Way Bridge Act"
"652",49095,NA
"653",49094,"Small Business Reorganization Act of 2019"
"654",49093,"National Guard and Reservists Debt Relief Extension Act of 2019"
"655",49092,NA
"656",49091,"Family Farmer Relief Act of 2019"
"657",49090,NA
"658",49089,"Emergency Medical Services for Children Program Reauthorization Act of 2019"
"659",49088,NA
"660",49087,NA
"661",49086,NA
"662",49085,NA
"663",49084,NA
"664",49083,NA
"665",49082,NA
"666",49081,NA
"667",49080,NA
"668",49079,"Sustaining Excellence in Medicaid Act of 2019"
"669",49078,NA
"670",49077,"Bipartisan Budget Act of 2019"
"671",49076,NA
"672",49075,NA
"673",49074,"Never Forget the Heroes: James Zadroga, Ray Pfeifer, and Luis Alvarez Permanent Authorization of the September 11th Victim Compensation Fund Act"
"674",49073,"Protecting Affordable Mortgages for Veterans Act of 2019"
"675",49072,"Supporting and Treating Officers In Crisis Act of 2019"
"676",49071,"Effective Prosecution of Possession of Biological Toxins and Agents Act of 2019"
"677",49070,"Fairness For Breastfeeding Mothers Act of 2019"
"678",49069,NA
"679",49068,NA
"680",49067,NA
"681",49066,"Emergency Supplemental Appropriations for Humanitarian Assistance and Security at the Southern Border Act, 2019"
"682",49065,"Taxpayer First Act"
"683",49064,"Northern Mariana Islands Long-Term Legal Residents Relief Act"
"684",49063,"Blue Water Navy Vietnam Veterans Act of 2019"
"685",49062,"Pandemic and All-Hazards Preparedness and Advancing Innovation Act of 2019"
"686",49061,NA
"687",49060,"Additional Supplemental Appropriations for Disaster Relief Act, 2019"
"688",49059,"National Flood Insurance Program Extension Act of 2019"
"689",49058,NA
"690",49057,"Target Practice and Marksmanship Training Support Act"
"691",49056,"Medicaid Services Investment and Accountability Act of 2019"
"692",49055,NA
"693",49054,"Colorado River Drought Contingency Plan Authorization Act"
"694",49053,"Recognizing Achievement in Classified School Employees Act"
"695",49052,NA
"696",49051,NA
"697",49050,NA
"698",49049,"John D. Dingell, Jr. Conservation, Management, and Recreation Act"
"699",49048,"Pesticide Registration Improvement Extension Act of 2018"
"700",49047,"National FFA Organization's Federal Charter Amendments Act"
"701",49046,NA
"702",49045,"Further Additional Continuing Appropriations Act, 2019"
"703",49044,"TANF Extension Act of 2019"
"704",49043,"Medicaid Extenders Act of 2019"
"705",49042,"Chemical Facility Anti-Terrorism Standards Program Extension Act"
"706",49041,"Government Employee Fair Treatment Act of 2019"
"707",49040,"Protecting Girls' Access to Education in Vulnerable Settings Act"
"708",49039,"Elie Wiesel Genocide and Atrocities Prevention Act of 2018"
"709",49038,"Tropical Forest Conservation Reauthorization Act of 2018"
"710",49037,"Nuclear Energy Innovation and Modernization Act"
"711",49036,NA
"712",49035,NA
"713",49034,"Water Infrastructure Improvement Act"
